chrom	start	end	strand	gene
chr1	6105371	6180023	-	CHD5
chr1	6181471	6197669	-	RP1-120G22.12
chr1	6186675	6199573	-	RPL22
chr1	6206536	6219404	+	RNF207
chr1	6225083	6235911	-	ICMT
chr1	6244366	6245504	+	HES3
chr1	6249341	6254905	-	GPR153
chr1	6264600	6393399	-	ACOT7
chr1	6413196	6419820	-	HES2
chr1	6424956	6461182	+	ESPN
chr1	6461437	6466107	-	TNFRSF25
chr1	6467566	6506158	-	PLEKHG5
chr1	6525857	6554502	-	NOL9
chr1	6555374	6579581	+	TAS1R1
chr1	6580610	6589209	+	ZBTB48
chr1	6593368	6602817	-	KLHL21
chr1	6614067	6621634	+	PHF13
chr1	6625219	6634085	+	THAP3
chr1	6634529	6701800	-	DNAJC11
chr1	6785531	7766519	+	CAMTA1
chr1	7771384	7779642	+	VAMP3
chr1	7784878	7842752	+	PER3
chr1	7843946	7853431	-	UTS2
chr1	7920838	7939994	-	TNFRSF9
chr1	7962786	7985052	+	PARK7
chr1	8004525	8015619	-	ERRFI1
chr1	8324330	8344010	+	SLC45A1
chr1	8355090	8656297	-	RERE
chr1	8861363	8874908	-	ENO1
chr1	8945887	8974701	+	CA6
chr1	9003303	9026345	-	SLC2A7
chr1	9037589	9069536	-	SLC2A5
chr1	9104422	9129027	-	GPR157
chr1	9239996	9264866	+	H6PD
chr1	9355892	9367572	+	SPSB1
chr1	9539692	9582498	+	SLC25A33
chr1	9588931	9613080	+	TMEM201
chr1	9710456	9727043	+	PIK3CD
chr1	9730511	9823733	-	CLSTN1
chr1	9850721	9872064	-	CTNNBIP1
chr1	9922258	9936619	-	LZIC
chr1	9972074	9985140	+	NMNAT1
chr1	9997259	10015829	+	RBP7
chr1	10033671	10179953	+	UBE4B
chr1	10232329	10378399	+	KIF1B
chr1	10399118	10419746	+	PGD
chr1	10430518	10442402	+	CENPS
chr1	10430518	10451592	+	CENPS-CORT
chr1	10450224	10451592	+	CORT
chr1	10461493	10472458	-	DFFA
chr1	10474967	10629984	+	PEX14
chr1	10638945	10693889	-	CASZ1
chr1	10947666	10982037	-	C1orf127
chr1	11013728	11025183	+	TARDBP
chr1	11026888	11047207	-	MASP2
chr1	11054868	11059943	-	SRM
chr1	11066721	11099831	-	EXOSC10
chr1	11107488	11259409	-	MTOR
chr1	11189580	11195020	+	ANGPTL7
chr1	11273532	11294887	+	UBIAD1
chr1	11500993	11536683	+	DISP3
chr1	11648697	11655712	-	FBXO2
chr1	11655836	11661302	+	FBXO44
chr1	11668659	11673848	+	FBXO6
chr1	11674778	11680601	-	MAD2L2
chr1	11706259	11719693	+	DRAXIN
chr1	11736209	11750283	+	AGTRAP
chr1	11761787	11789456	+	C1orf167
chr1	11790543	11803514	-	MTHFR
chr1	11806263	11840220	+	CLCN6
chr1	11846006	11847684	-	NPPA
chr1	11857658	11858833	-	NPPB
chr1	11920318	11926237	-	KIAA2013
chr1	11934780	11974805	+	PLOD1
chr1	11989169	12014476	+	MFN2
chr1	12021727	12031805	+	MIIP
chr1	12063599	12142528	+	TNFRSF8
chr1	12167092	12207017	+	TNFRSF1B
chr1	12234267	12509021	+	VPS13D
chr1	12568343	12617348	-	DHRS3
chr1	12644547	12666732	+	AADACL4
chr1	12716177	12725993	+	AADACL3
chr1	12746431	12760948	+	C1orf158
chr1	12774868	12777596	+	PRAMEF12
chr1	12793228	12795993	+	PRAMEF1
chr1	12824945	12828789	-	PRAMEF11
chr1	12847411	12848289	-	HNRNPCL1
chr1	12859010	12861776	+	PRAMEF2
chr1	12879547	12883394	-	PRAMEF4
chr1	12892919	12895847	-	PRAMEF10
chr1	12917693	12920410	+	PRAMEF7
chr1	12938678	12942518	-	PRAMEF6
chr1	13049811	13053659	-	PRAMEF27
chr1	13061325	13062203	+	HNRNPCL3
chr1	13073694	13077549	+	PRAMEF25
chr1	13115522	13116400	-	HNRNPCL2
chr1	13149240	13153095	-	PRAMEF26
chr1	13164589	13165467	-	HNRNPCL4
chr1	13175281	13179129	+	PRAMEF9
chr1	13196826	13199589	-	PRAMEF13
chr1	13223335	13226106	-	PRAMEF18
chr1	13259269	13263108	+	PRAMEF5
chr1	13281374	13284091	-	PRAMEF8
chr1	13305955	13308884	+	PRAMEF33
chr1	13318408	13322261	+	PRAMEF15
chr1	13342531	13345314	-	PRAMEF14
chr1	13369070	13371900	-	PRAMEF19
chr1	13389658	13392499	+	PRAMEF17
chr1	13416355	13421255	+	PRAMEF20
chr1	13475849	13513593	-	LRRC38
chr1	13583806	13615908	+	PDPN
chr1	13715606	13823181	+	PRDM2
chr1	13893666	15114632	+	KAZN
chr1	15215088	15219740	+	TMEM51
chr1	15251785	15397410	+	FHAD1
chr1	15409972	15428721	+	EFHD2
chr1	15438465	15446586	+	CTRC
chr1	15456754	15472004	+	CELA2A
chr1	15476126	15491309	+	CELA2B
chr1	15492946	15524200	-	CASP9
chr1	15529106	15574775	+	DNAJC16
chr1	15573654	15584967	-	AGMAT
chr1	15617671	15656630	+	DDI2
chr1	15659869	15661719	+	RSC1A1
chr1	15684559	15733931	+	PLEKHM2
chr1	15736486	15739403	+	SLC25A34
chr1	15742560	15747629	+	TMEM82
chr1	15764984	15784658	+	FBLIM1
chr1	15807377	15807649	-	UQCRHL
chr1	15848068	15939424	+	SPEN
chr1	15941972	15948495	-	ZBTB17
chr1	16004304	16006343	+	SRARP
chr1	16015583	16019469	-	HSPB7
chr1	16022620	16033655	+	CLCNKA
chr1	16044493	16057282	+	CLCNKB
chr1	16058440	16073442	-	FAM131C
chr1	16125218	16155932	-	EPHA2
chr1	16198590	16209054	-	ARHGEF19
chr1	16232051	16236742	-	CPLANE2
chr1	16250673	16315418	-	FBXO42
chr1	16367258	16395137	+	SZRD1
chr1	16387298	16431371	-	SPATA21
chr1	16440762	16458993	+	NECAP2
chr1	16563946	16592021	-	NBPF1
chr1	16922019	16972443	+	CROCC
chr1	16974923	16978273	-	MFAP2
chr1	16985988	17011738	-	ATP13A2
chr1	17005071	17011757	-	RP1-37C10.8
chr1	17018884	17054019	-	SDHB
chr1	17069047	17119371	-	PADI2
chr1	17205218	17244240	+	PADI1
chr1	17249138	17283076	+	PADI3
chr1	17308223	17363752	+	PADI4
chr1	17372246	17401435	+	PADI6
chr1	17409093	17438514	-	RCC2
chr1	17580596	17697377	+	ARHGEF10L
chr1	17823009	17826516	+	ACTL8
chr1	18108129	18378323	+	IGSF21
chr1	18480982	18483312	+	KLHDC7A
chr1	18631604	18744926	+	PAX7
chr1	18839602	18859660	-	TAS1R2
chr1	18872848	18902523	-	ALDH4A1
chr1	18908564	18956332	-	IFFO2
chr1	19074835	19210248	-	UBR4
chr1	19219306	19251509	-	EMC1
chr1	19251836	19258827	+	MRTO4
chr1	19282734	19288709	-	AKR7A3
chr1	19304228	19312124	-	AKR7A2
chr1	19317678	19328640	+	SLC66A1
chr1	19339533	19485438	-	CAPZB
chr1	19597046	19626398	+	MICOS10
chr1	19597067	19626398	+	MICOS10-NBL1
chr1	19643312	19657126	+	NBL1
chr1	19665754	19679365	+	HTR6
chr1	19682632	19780758	-	TMCO4
chr1	19814421	19815101	-	RNF186
chr1	19882514	19907743	+	OTUD3
chr1	19920310	19923559	-	PLA2G2E
chr1	19975704	19978773	-	PLA2G2A
chr1	20084831	20090689	+	PLA2G5
chr1	20114117	20119498	-	PLA2G2D
chr1	20139428	20148398	+	PLA2G2F
chr1	20163994	20177363	-	PLA2G2C
chr1	20190562	20191401	+	UBXN10
chr1	20310602	20354260	+	VWA5B1
chr1	20483652	20485379	-	CAMK2N1
chr1	20500693	20508024	-	MUL1
chr1	20552974	20553960	+	FAM43B
chr1	20589130	20618565	+	CDA
chr1	20633549	20650688	+	PINK1
chr1	20652382	20661401	-	DDOST
chr1	20664587	20717706	-	KIF17
chr1	20721795	20728044	-	SH2D5
chr1	20744800	20780440	-	HP1BP3
chr1	20807322	21176836	-	EIF4G3
chr1	21217714	21345378	-	ECE1
chr1	21445087	21483383	+	NBPF3
chr1	21554082	21577645	+	ALPL
chr1	21597723	21651822	-	RAP1GAP
chr1	21679420	21782957	-	USP48
chr1	21812452	21822212	+	LDLRAD2
chr1	21823319	21937217	-	HSPG2
chr1	21977040	21998186	+	CELA3B
chr1	22001675	22012464	+	CELA3A
chr1	22078479	22091514	+	CDC42
chr1	22120053	22142922	-	WNT4
chr1	22489949	22526393	+	ZBTB40
chr1	22563636	22601738	+	EPHA8
chr1	22637617	22639404	+	C1QA
chr1	22644024	22647780	+	C1QC
chr1	22659463	22661383	+	C1QB
chr1	22710983	22913867	+	EPHB2
chr1	22953046	22965338	-	LACTBL1
chr1	23010904	23015773	-	TEX46
chr1	23019597	23083361	+	KDM1A
chr1	23088898	23094261	-	LUZP1
chr1	23193089	23194219	-	HTR1D
chr1	23306493	23341008	-	HNRNPR
chr1	23361972	23368005	-	ZNF436
chr1	23381469	23424633	-	TCEA3
chr1	23429859	23484133	-	ASAP3
chr1	23509883	23530793	-	E2F2
chr1	23558963	23559426	-	ID3
chr1	23691824	23696370	+	RPL11
chr1	23743426	23759570	+	ELOA
chr1	23778516	23787373	+	PITHD1
chr1	23792683	23794729	+	LYPLA2
chr1	23795952	23799007	-	GALE
chr1	23802466	23825415	-	HMGCL
chr1	23845718	23868286	-	FUCA1
chr1	23874538	23875617	-	CNR2
chr1	23960968	23961874	+	PNRC2
chr1	23967666	23980255	-	SRSF10
chr1	24057367	24108636	-	MYOM3
chr1	24120808	24143082	-	IL22RA1
chr1	24157133	24187248	-	IFNLR1
chr1	24319552	24364368	+	GRHL3
chr1	24358546	24401388	-	STPG1
chr1	24419548	24469182	+	NIPAL3
chr1	24514373	24535274	+	RCAN3
chr1	24595431	24605744	+	NCMAP
chr1	24643327	24672283	+	SRRM1
chr1	24745554	24840934	+	CLIC4
chr1	24902125	24964571	-	RUNX3
chr1	25223269	25232467	-	SYF2
chr1	25242592	25246963	-	RSRP1
chr1	25272548	25329133	+	RHD
chr1	25340487	25360702	+	TMEM50A
chr1	25362530	25420786	-	RHCE
chr1	25431099	25498463	+	MACO1
chr1	25543699	25566989	+	LDLRAP1
chr1	25617798	25783786	+	MAN1C1
chr1	25800231	25815715	+	SELENON
chr1	25813973	25823024	+	RP1-317E23.6
chr1	25823105	25832023	+	MTFR1L
chr1	25832091	25859357	-	AUNIP
chr1	25862802	25863839	-	PAQR7
chr1	25885726	25904676	-	STMN1
chr1	25961992	25990816	-	PAFAH2
chr1	26022647	26035344	+	EXTL1
chr1	26039163	26045896	-	SLC30A2
chr1	26051876	26067494	-	TRIM63
chr1	26114309	26122574	+	PDIK1L
chr1	26161292	26162104	+	FAM110D
chr1	26164164	26168499	-	C1orf232
chr1	26169984	26170713	+	ZNF593
chr1	26171192	26171661	-	ZNF593OS
chr1	26177548	26189545	+	CNKSR1
chr1	26190628	26202539	+	CATSPER4
chr1	26239784	26277290	+	CEP85
chr1	26280156	26281120	+	SH3BGRL3
chr1	26282302	26302883	-	UBXN11
chr1	26318018	26320299	+	CD52
chr1	26321971	26360049	-	CRYBG2
chr1	26361654	26374290	-	ZNF683
chr1	26410892	26426455	+	LIN28A
chr1	26432946	26469128	+	DHDDS
chr1	26472613	26475145	+	HMGN2
chr1	26529921	26574440	+	RPS6KA1
chr1	26696404	26780753	+	ARID1A
chr1	26790816	26797891	+	PIGV
chr1	26826805	26856223	+	ZDHHC18
chr1	26863213	26863956	+	SFN
chr1	26879680	26890096	-	GPN2
chr1	26890807	26900442	-	GPATCH3
chr1	26911143	26946178	+	NUDC
chr1	26911848	26913940	-	NR0B2
chr1	26950072	26952380	-	KDF1
chr1	26993787	26994467	+	TRNP1
chr1	27005947	27012670	-	TENT5B
chr1	27100310	27154334	-	SLC9A1
chr1	27261055	27306380	+	WDTC1
chr1	27322198	27335463	+	TMEM222
chr1	27345335	27353849	+	SYTL1
chr1	27355383	27366597	-	MAP3K6
chr1	27369239	27374818	-	FCN3
chr1	27379506	27383239	-	CD164L2
chr1	27393799	27394788	+	GPR3
chr1	27408192	27428890	-	WASF2
chr1	27547307	27552115	-	AHDC1
chr1	27612917	27623916	-	FGR
chr1	27666384	27669314	-	IFI6
chr1	27726081	27760578	+	FAM76A
chr1	27773308	27822326	+	STX12
chr1	27830836	27850443	+	PPP1R8
chr1	27872572	27885919	+	THEMIS2
chr1	27892166	27914660	-	RPA2
chr1	27935184	27958835	+	SMPDL3B
chr1	27960070	27967197	+	XKR8
chr1	27974469	28058026	-	EYA3
chr1	28149996	28151021	-	PTAFR
chr1	28200201	28232998	-	DNAJC8
chr1	28236184	28246634	+	ATP5IF1
chr1	28259848	28280799	+	SESN2
chr1	28330663	28334967	+	MED18
chr1	28407448	28496546	+	PHACTR4
chr1	28518661	28538004	+	RCC1
chr1	28553111	28577633	+	TRNAU1AP
chr1	28592512	28594114	+	RAB42
chr1	28603542	28624017	-	TAF12
chr1	28683613	28714770	+	GMEB1
chr1	28737121	28768949	+	YTHDF2
chr1	28812384	28863280	+	OPRD1
chr1	28987438	29115794	+	EPB41
chr1	29120908	29121828	-	TMEM200B
chr1	29148413	29181752	-	SRSF4
chr1	29194025	29230906	-	MECR
chr1	29236645	29325658	+	PTPRU
chr1	30713585	30723551	-	MATN1
chr1	30733831	30757745	-	LAPTM5
chr1	30873214	30908586	-	SDC3
chr1	30933214	31065785	-	PUM1
chr1	31181706	31239547	-	NKAIN1
chr1	31260075	31296751	-	SNRNP40
chr1	31297082	31364218	+	ZCCHC17
chr1	31365889	31373014	-	FABP3
chr1	31409838	31434196	+	SERINC2
chr1	31577149	31586976	+	TINAGL1
chr1	31619193	31632515	+	HCRTR1
chr1	31630616	31644864	-	PEF1
chr1	31652654	31702193	-	COL16A1
chr1	31727423	31764802	-	ADGRB2
chr1	31790606	31815333	-	SPOCD1
chr1	31908855	31919065	-	PTP4A2
chr1	31919566	31919628	-	RP4-534N18.5
chr1	32013996	32042621	+	KHDRBS1
chr1	32073048	32102670	+	TMEM39B
chr1	32108131	32170891	+	KPNA6
chr1	32180346	32195192	+	TXLNA
chr1	32201936	32205245	+	CCDC28B
chr1	32205682	32208079	+	IQCC
chr1	32209094	32215894	+	DCDC2B
chr1	32216413	32222322	-	TMEM234
chr1	32222442	32245252	+	EIF3I
chr1	32247422	32248598	+	FAM167B
chr1	32274198	32285713	+	LCK
chr1	32292170	32333041	+	HDAC1
chr1	32334600	32336033	-	MARCKSL1
chr1	32361436	32362091	-	FAM229A
chr1	32362702	32364253	+	TSSK3
chr1	32366625	32394414	-	BSDC1
chr1	32470625	32536525	+	RP1-27O5.3
chr1	32470625	32485415	+	ZBTB8B
chr1	32592932	32600416	+	ZBTB8A
chr1	32600256	32650529	-	ZBTB8OS
chr1	32651307	32680543	+	RBBP4
chr1	32681791	32702660	-	SYNC
chr1	32741955	32772884	+	KIAA1522
chr1	32775984	32817244	-	YARS1
chr1	32826100	32856035	+	S100PBP
chr1	32864297	32870746	-	FNDC5
chr1	32888899	32893859	+	HPCA
chr1	32894808	32901238	-	TMEM54
chr1	32936809	32964685	-	RNF19B
chr1	33010832	33036828	-	AK2
chr1	33082250	33120179	+	AZIN2
chr1	33147180	33181432	-	TRIM62
chr1	33270575	33299043	+	ZNF362
chr1	33306769	33321098	-	A3GALT2
chr1	33324868	33375539	-	PHC2
chr1	33479289	33495473	+	ZSCAN20
chr1	33519521	34165813	-	CSMD2
chr1	33864192	33864749	+	HMGB4
chr1	34177790	34218758	+	C1orf94
chr1	34718395	34855977	-	SMIM12
chr1	34757331	34758149	+	GJB5
chr1	34761255	34762052	+	GJB4
chr1	34784763	34785572	+	GJB3
chr1	34794214	34795212	+	GJA4
chr1	34866086	34905383	-	DLGAP3
chr1	34977346	34985305	-	RP11-244H3.5
chr1	34981947	34985305	-	TMEM35B
chr1	34983925	35030639	-	RP11-244H3.4
chr1	34987107	35030639	-	ZMYM6
chr1	35093988	35115256	+	ZMYM1
chr1	35178016	35193049	-	SFPQ
chr1	35269047	35419674	+	ZMYM4
chr1	35434897	35554491	-	KIAA0319L
chr1	35558191	35566866	+	NCDN
chr1	35573578	35594673	+	TFAP2E
chr1	35603270	35641432	-	PSMB2
chr1	35715635	35716321	-	C1orf216
chr1	35720894	35769870	-	CLSPN
chr1	35808417	35853602	+	AGO4
chr1	35883422	35919706	+	AGO1
chr1	35931427	36055742	+	AGO3
chr1	36084922	36088183	+	TEKT2
chr1	36088905	36093383	+	ADPRS
chr1	36097572	36100242	-	COL8A2
chr1	36137206	36149378	-	TRAPPC3
chr1	36156418	36180255	+	MAP7D1
chr1	36282564	36304521	+	THRAP3
chr1	36306421	36321124	+	SH3D21
chr1	36322298	36323037	-	EVA1B
chr1	36341758	36361332	-	STK40
chr1	36393761	36394129	-	LSM10
chr1	36416051	36450369	-	OSCP1
chr1	36455791	36464275	-	MRPS15
chr1	36466099	36479496	-	CSF3R
chr1	36801854	37034108	-	GRIK3
chr1	37475497	37483608	+	ZC3H12A
chr1	37493772	37514746	-	MEAF6
chr1	37537751	37554229	-	SNIP1
chr1	37556929	37565058	+	DNALI1
chr1	37566858	37595822	-	GNL2
chr1	37612758	37629901	-	RSPO1
chr1	37683126	37689880	-	C1orf109
chr1	37692691	37708363	+	CDCA8
chr1	37715979	37765066	-	EPHA10
chr1	37794183	37800200	+	MANEAL
chr1	37803928	37808180	-	YRDC
chr1	37808405	37809070	+	C1orf122
chr1	37815139	37857658	-	MTF1
chr1	37862318	37946308	-	INPP5B
chr1	37958189	37989965	-	SF3A3
chr1	37997408	37999412	-	FHL3
chr1	38012803	38023625	+	UTP11
chr1	38045391	38046743	-	POU3F1
chr1	38839556	38859646	-	RRAGC
chr1	38864673	38873305	-	MYCBP
chr1	38864673	38881467	-	RP5-864K19.6
chr1	38874554	38876098	-	GJA9
chr1	38886507	38919212	-	RHBDL2
chr1	38991381	39004052	+	AKIRIN1
chr1	39028725	39034493	+	NDUFS5
chr1	39084219	39485791	+	MACF1
chr1	39491992	39525795	+	BMP8A
chr1	39561108	39575951	-	PABPC4
chr1	39626510	39639625	-	HEYL
chr1	39659124	39672038	-	NT5C1A
chr1	39682539	39684603	-	HPCAL4
chr1	39738901	39763739	+	PPIE
chr1	39760422	39788485	-	BMP8B
chr1	39769705	39771255	-	OXCT2
chr1	39841747	39883491	-	TRIT1
chr1	39897375	39901888	-	MYCL
chr1	39955293	39969565	+	MFSD2A
chr1	40059347	40071530	+	CAP1
chr1	40074064	40097238	-	PPT1
chr1	40161400	40240444	+	RLF
chr1	40247994	40251591	+	TMCO2
chr1	40258272	40292666	+	ZMPSTE24
chr1	40301185	40317197	-	COL9A2
chr1	40362382	40422098	+	SMAP2
chr1	40450962	40463586	+	ZFP69B
chr1	40479362	40496056	+	ZFP69
chr1	40514545	40515663	+	EXO5
chr1	40533167	40547457	+	ZNF684
chr1	40626520	40641925	-	RIMS3
chr1	40738844	40771482	+	NFYC
chr1	40784094	40838520	+	KCNQ4
chr1	40861576	40862127	-	CITED4
chr1	40983291	41010242	+	CTPS1
chr1	41016109	41020660	-	SLFNL1
chr1	41028197	41186133	-	SCMH1
chr1	41361931	41382678	+	FOXO6
chr1	41479412	41484601	-	EDN2
chr1	41510454	41584797	-	HIVEP3
chr1	41585309	41628816	-	RP11-486B10.5
chr1	42153451	42155593	+	GUCA2B
chr1	42162909	42164712	-	GUCA2A
chr1	42179713	42311093	-	FOXJ3
chr1	42380935	42414971	+	RIMKLA
chr1	42430739	42455997	-	ZMYND12
chr1	42456566	42459923	+	PPCS
chr1	42473286	42654025	+	CCDC30
chr1	42658447	42667416	+	PPIH
chr1	42682566	42701012	+	YBX1
chr1	42735089	42740063	-	CLDN19
chr1	42746700	42766971	-	P3H1
chr1	42767312	42775391	+	C1orf50
chr1	42767312	42774783	+	RP5-994D16.12
chr1	42789433	42798222	+	TMEM269
chr1	42807417	42816544	-	SVBP
chr1	42830449	42843229	+	ERMAP
chr1	42849659	42851810	+	ZNF691
chr1	42926810	42958651	-	SLC2A1
chr1	43145249	43156310	+	FAM183A
chr1	43164446	43172421	-	EBNA1BP2
chr1	43172754	43254188	+	CFAP57
chr1	43272723	43273379	+	TMEM125
chr1	43282788	43283270	-	C1orf210
chr1	43301072	43322719	+	TIE1
chr1	43337849	43352769	+	MPL
chr1	43359216	43363126	+	CDC20
chr1	43363919	43365609	-	ELOVL1
chr1	43384453	43389764	-	MED8
chr1	43389969	43450477	+	SZT2
chr1	43451241	43453793	-	HYI
chr1	43545076	43622000	+	PTPRF
chr1	43653176	43704367	+	KDM4A
chr1	43653176	43683708	+	RP11-7O11.7
chr1	43736263	43930218	+	ST3GAL3
chr1	43935657	43936762	+	ARTN
chr1	43947601	43967679	+	IPO13
chr1	43970176	43972536	+	DPH2
chr1	43975041	43978004	+	ATP6V0B
chr1	43980012	43990445	+	B4GALT2
chr1	43991612	44024277	-	SLC6A9
chr1	43991879	43996157	+	CCDC24
chr1	44118908	44130753	+	KLF17
chr1	44137824	44141631	-	KLF18
chr1	44213754	44220615	+	DMAP1
chr1	44221561	44355026	-	ERI3
chr1	44412098	44650772	+	RNF220
chr1	44636390	44674391	-	TMEM53
chr1	44689698	44725400	+	ARMH1
chr1	44739933	44767176	+	KIF2C
chr1	44775597	44778682	+	RPS8
chr1	44784213	44787705	-	BEST4
chr1	44800464	44805675	+	PLK3
chr1	44806006	44806668	-	DYNLT4
chr1	44808821	44813769	+	BTBD19
chr1	44820692	44842932	-	PTCH2
chr1	44850954	44981168	-	EIF2B3
chr1	45003495	45011257	-	HECTD3
chr1	45012266	45015495	+	UROD
chr1	45018457	45206350	-	ZSWIM5
chr1	45327149	45328261	+	HPDL
chr1	45329309	45340254	-	MUTYH
chr1	45330516	45457785	-	RP4-534D1.6
chr1	45340253	45343699	+	TOE1
chr1	45344843	45457785	-	TESK2
chr1	45495062	45499609	-	CCDC163
chr1	45500333	45509212	+	MMACHC
chr1	45511332	45519043	-	PRDX1
chr1	45561795	45569953	+	AKR1A1
chr1	45584147	45618138	+	NASP
chr1	45620278	45623909	-	CCDC17
chr1	45628259	45659087	-	GPBP1L1
chr1	45691069	45693902	+	TMEM69
chr1	45694421	45746411	-	IPP
chr1	45803896	46036063	+	MAST2
chr1	46043676	46131952	-	PIK3R3
chr1	46043676	46176471	-	P3R3URF-PIK3R3
chr1	46175589	46176471	-	P3R3URF
chr1	46181108	46185530	+	TSPAN1
chr1	46188722	46197821	-	POMGNT1
chr1	46203427	46220217	+	LURAP1
chr1	46248406	46278279	+	RAD54L
chr1	46267497	46303322	-	LRRC41
chr1	46303767	46316581	+	UQCRH
chr1	46340827	46361843	+	NSUN4
chr1	46394349	46413572	+	FAAH
chr1	46507011	46512491	+	DMBX1
chr1	46532997	46533527	-	TMEM275
chr1	46547733	46551215	-	KNCN
chr1	46558578	46594943	-	MKNK1
chr1	46609658	46613321	-	MOB3C
chr1	46633768	46668391	-	ATPAF1
chr1	46669439	46673453	+	TEX38
chr1	46678464	46718180	-	EFCAB14
chr1	46799082	46818811	+	CYP4B1
chr1	46930118	46941433	-	CYP4A11
chr1	47023818	47050171	+	CYP4X1
chr1	47067491	47117931	+	CYP4Z1
chr1	47137486	47148794	+	CYP4A22
chr1	47183974	47189932	-	PDZK1IP1
chr1	47219723	47225888	-	TAL1
chr1	47251139	47310319	-	STIL
chr1	47333946	47376742	+	CMPK1
chr1	47416316	47417272	+	FOXE3
chr1	47438136	47439620	+	FOXD2
chr1	47765905	47996789	-	TRABD2B
chr1	48222737	48247540	+	SLC5A9
chr1	48298716	48472008	-	SPATA6
chr1	48534176	50023796	-	AGBL4
chr1	48727889	48776831	-	BEND5
chr1	50048165	50201175	+	ELAVL4
chr1	50418668	50421536	-	DMRTA2
chr1	50441443	50959811	-	FAF1
chr1	50970369	50974267	+	CDKN2C
chr1	51102234	51147768	+	C1orf185
chr1	51236757	51271319	+	RNF11
chr1	51288160	51345043	-	TTC39A
chr1	51356703	51519231	-	EPS15
chr1	51617092	51787786	+	OSBPL9
chr1	51789239	51878615	-	NRDC
chr1	51919930	51977117	-	RAB3B
chr1	52020936	52055096	-	TXNDC12
chr1	52032700	52033350	-	RP11-91A18.6
chr1	52032700	52033761	-	KTI12
chr1	52059848	52086755	+	BTF3L4
chr1	52233207	52346218	+	ZFYVE9
chr1	52353176	52364620	-	CC2D1B
chr1	52373184	52402223	-	ORC1
chr1	52404750	52416687	+	PRPF38A
chr1	52408345	52526280	-	TUT4
chr1	52602410	52608422	+	GPX7
chr1	52633494	52657037	+	SHISAL2A
chr1	52687723	52698326	-	COA7
chr1	52726654	52821626	+	ZYG11B
